id,player_id,first_name,last_name,position,height_feet,height_inches,height_total_inches,weight_pounds,jersey_number,college,country,draft_year,draft_round,draft_number,team_id
1132,407,Dario,Saric,F,6.0,10.0,82.0,,,,,,,,8
1133,408,Tomas,Satoransky,G-F,6.0,7.0,79.0,,,,,,,,30
1134,409,Dennis,Schroder,G,6.0,1.0,73.0,,,,,,,,9
1135,410,Mike,Scott,F,6.0,7.0,79.0,,,,,,,,1
1136,411,Thabo,Sefolosha,F,6.0,6.0,78.0,,,,,,,,21
1137,412,Wayne,Selden,G-F,6.0,5.0,77.0,,,,,,,,20
1138,413,Collin,Sexton,G,6.0,3.0,75.0,,,,,,,,29
1139,414,Landry,Shamet,G,6.0,4.0,76.0,,,,,,,,20
1140,415,Iman,Shumpert,G,6.0,5.0,77.0,,,,,,,,20
1141,416,Pascal,Siakam,F,6.0,8.0,80.0,,,,,,,,12
1142,417,Ben,Simmons,G-F,6.0,10.0,82.0,,,,,,,,13
1143,418,Jonathon,Simmons,F,6.0,6.0,78.0,,,,,,,,27
1144,419,Anfernee,Simons,G,6.0,3.0,75.0,,,,,,,,25
1145,420,Marcus,Smart,G,6.0,3.0,75.0,,,,,,,,30
1146,421,Dennis,Smith Jr.,G,6.0,3.0,75.0,,,,,,,,3
1147,422,Ish,Smith,G,6.0,0.0,72.0,,,,,,,,4
1148,423,Jason,Smith,F-C,7.0,0.0,84.0,,,,,,,,19
1149,424,JR,Smith,G-F,6.0,6.0,78.0,,,,,,,,8
1150,425,Zhaire,Smith,G,6.0,3.0,75.0,,,,,,,,23
1151,426,Tony,Snell,G,6.0,6.0,78.0,,,,,,,,19
1152,427,Ray,Spalding,F,6.0,9.0,81.0,,,,,,,,24
1153,428,Omari,Spellman,F,6.0,8.0,80.0,,,,,,,,10
1154,429,Nik,Stauskas,G,6.0,6.0,78.0,,,,,,,,2
1155,430,DJ,Stephens,G-F,6.0,5.0,77.0,,,,,,,,17
1156,431,Lance,Stephenson,G,6.0,5.0,77.0,,,,,,,,12
1157,432,Edmond,Sumner,G,6.0,4.0,76.0,,,,,,,,4
1158,433,Caleb,Swanigan,F,6.0,9.0,81.0,,,,,,,,25
