team_id,team_name,season,games_played,wins,points_scored_total,points_allowed_total,point_diff_total,point_diff_avg,home_games,home_wins,losses,win_pct,points_per_game,points_allowed_per_game,away_games,away_wins,home_win_pct,away_win_pct
28,Toronto Raptors,2023-2024,33,13,3803,3819,-16,-0.48484848484848486,16,8,20,0.3939393939393939,115.24242424242425,115.72727272727273,17,5,0.5,0.29411764705882354
28,Toronto Raptors,2024-2025,76,27,8216,8577,-361,-4.75,37,15,49,0.35526315789473684,108.10526315789474,112.85526315789474,39,12,0.40540540540540543,0.3076923076923077
29,Utah Jazz,2020-2021,77,52,8942,8411,531,6.896103896103896,37,30,25,0.6753246753246753,116.12987012987013,109.23376623376623,40,22,0.8108108108108109,0.55
29,Utah Jazz,2021-2022,80,46,8994,8580,414,5.175,37,25,34,0.575,112.425,107.25,43,21,0.6756756756756757,0.4883720930232558
29,Utah Jazz,2022-2023,75,34,8806,8877,-71,-0.9466666666666667,39,21,41,0.4533333333333333,117.41333333333333,118.36,36,13,0.5384615384615384,0.3611111111111111
29,Utah Jazz,2023-2024,37,18,4269,4355,-86,-2.324324324324324,17,12,19,0.4864864864864865,115.37837837837837,117.70270270270271,20,6,0.7058823529411765,0.3
29,Utah Jazz,2024-2025,76,16,8398,9078,-680,-8.947368421052632,37,9,60,0.21052631578947367,110.5,119.44736842105263,39,7,0.24324324324324326,0.1794871794871795
30,Washington Wizards,2020-2021,72,33,8390,8556,-166,-2.3055555555555554,35,18,39,0.4583333333333333,116.52777777777777,118.83333333333333,37,15,0.5142857142857142,0.40540540540540543
30,Washington Wizards,2021-2022,74,34,8038,8233,-195,-2.635135135135135,36,20,40,0.4594594594594595,108.62162162162163,111.25675675675676,38,14,0.5555555555555556,0.3684210526315789
30,Washington Wizards,2022-2023,78,34,8829,8913,-84,-1.0769230769230769,40,18,44,0.4358974358974359,113.1923076923077,114.26923076923077,38,16,0.45,0.42105263157894735
30,Washington Wizards,2023-2024,37,6,4262,4660,-398,-10.756756756756756,16,3,31,0.16216216216216217,115.1891891891892,125.94594594594595,21,3,0.1875,0.14285714285714285
30,Washington Wizards,2024-2025,76,14,8006,8954,-948,-12.473684210526315,39,7,62,0.18421052631578946,105.34210526315789,117.8157894736842,37,7,0.1794871794871795,0.1891891891891892
