player_id,first_name,last_name,position,height_feet,height_inches,height_total_inches,weight_pounds,jersey_number,college,country,draft_year,draft_round,draft_number,team_id,team_abbreviation,team_name,team_conference,team_division,full_name,position_standard
34,Jerryd,Bayless,G,6.0,3.0,75.0,,,,,,,,17,MIL,Milwaukee Bucks,East,Central,Jerryd Bayless,G
35,Aron,Baynes,C-F,6.0,10.0,82.0,,,,,,,,9,DET,Detroit Pistons,East,Central,Aron Baynes,F-C
36,Kent,Bazemore,G,6.0,4.0,76.0,,,,,,,,26,SAC,Sacramento Kings,West,Pacific,Kent Bazemore,G
37,Bradley,Beal,G,6.0,4.0,76.0,,,,,,,,24,PHX,Phoenix Suns,West,Pacific,Bradley Beal,G
38,Malik,Beasley,G,6.0,4.0,76.0,,,,,,,,9,DET,Detroit Pistons,East,Central,Malik Beasley,G
39,Michael,Beasley,F,6.0,9.0,81.0,,,,,,,,16,MIA,Miami Heat,East,Southeast,Michael Beasley,F
40,Marco,Belinelli,G-F,6.0,5.0,77.0,,,,,,,,27,SAS,San Antonio Spurs,West,Southwest,Marco Belinelli,G-F
41,Jordan,Bell,F,6.0,8.0,80.0,,,,,,,,5,CHI,Chicago Bulls,East,Central,Jordan Bell,F
42,DeAndre',Bembry,F,6.0,5.0,77.0,,,,,,,,17,MIL,Milwaukee Bucks,East,Central,DeAndre' Bembry,F
43,Dragan,Bender,F,7.0,1.0,85.0,,,,,,,,24,PHX,Phoenix Suns,West,Pacific,Dragan Bender,F
44,Davis,Bertans,F,6.0,10.0,82.0,,,,,,,,4,CHA,Charlotte Hornets,East,Southeast,Davis Bertans,F
46,Khem,Birch,C,6.0,8.0,80.0,,,,,,,,27,SAS,San Antonio Spurs,West,Southwest,Khem Birch,C
47,Jabari,Bird,G,6.0,6.0,78.0,,,,,,,,2,BOS,Boston Celtics,East,Atlantic,Jabari Bird,G
48,Bismack,Biyombo,C,6.0,8.0,80.0,,,,,,,,27,SAS,San Antonio Spurs,West,Southwest,Bismack Biyombo,C
49,Nemanja,Bjelica,F,6.0,9.0,81.0,,,,,,,,10,GSW,Golden State Warriors,West,Pacific,Nemanja Bjelica,F
50,Antonio,Blakeney,G,6.0,4.0,76.0,,,,,,,,5,CHI,Chicago Bulls,East,Central,Antonio Blakeney,G
51,Eric,Bledsoe,G,6.0,1.0,73.0,,,,,,,,25,POR,Portland Trail Blazers,West,Northwest,Eric Bledsoe,G
52,Trevon,Bluiett,G-F,6.0,6.0,78.0,,,,,,,,29,UTA,Utah Jazz,West,Northwest,Trevon Bluiett,G-F
53,Bogdan,Bogdanovic,G,6.0,5.0,77.0,,,,,,,,13,LAC,LA Clippers,West,Pacific,Bogdan Bogdanovic,G
54,Bojan,Bogdanovic,F,6.0,7.0,79.0,,,,,,,,20,NYK,New York Knicks,East,Atlantic,Bojan Bogdanovic,F
55,Jonah,Bolden,F,6.0,10.0,82.0,,,,,,,,23,PHI,Philadelphia 76ers,East,Atlantic,Jonah Bolden,F
56,Isaac,Bonga,G,6.0,8.0,80.0,,,,,,,,28,TOR,Toronto Raptors,East,Atlantic,Isaac Bonga,G
57,Devin,Booker,G,6.0,6.0,78.0,,,,,,,,24,PHX,Phoenix Suns,West,Pacific,Devin Booker,G
58,Chris,Boucher,F,6.0,9.0,81.0,,,,,,,,28,TOR,Toronto Raptors,East,Atlantic,Chris Boucher,F
59,Avery,Bradley,G,6.0,3.0,75.0,,,,,,,,14,LAL,Los Angeles Lakers,West,Pacific,Avery Bradley,G
60,Tony,Bradley,C,6.0,11.0,83.0,,,,,,,,12,IND,Indiana Pacers,East,Central,Tony Bradley,C
61,Mikal,Bridges,F,6.0,6.0,78.0,,,,,,,,20,NYK,New York Knicks,East,Atlantic,Mikal Bridges,F
